submap,latitude,longitude,label_latitude,label_longitude,date,name
AT,47.318614,12.7958000,47.318614,12.7958000,,Zell am See
MD,47.283574,28.8449710,47.283574,28.8449710,,Ivancea
AT,47.267042,11.3900940,47.267042,11.3900940,20250926,Innsbruck
AT,47.253348,11.5996780,47.253348,11.5996780,20250925,Tyrol
RO,47.240534,25.5899760,47.240534,25.5899760,,Carpathian Mountains
MD,47.148586,28.8603530,47.148586,28.8603530,,Cricova Wine Cellars
LI,47.141069,9.52105000,48.081894,8.58427600,20250628,Vaduz
LI,47.133324,9.54999400,48.074149,8.61322000,20250628,Fürstensteig
LI,47.101478,9.60957600,48.042303,8.67280200,20250628,Malbun
AT,47.067681,15.4403400,47.067681,15.4403400,,Graz
CH,47.050401,8.30926900,47.050401,8.30926900,20250705,Luzern
MD,47.010513,28.8637750,47.010513,28.8637750,,Chișinău
CH,46.968393,8.63719900,46.968393,8.63719900,20250705,Fronalpstock
CH,46.946398,7.44901200,46.946398,7.44901200,,Bern
MD,46.848334,29.5968410,46.848334,29.5968410,,Tiraspol
HU,46.831104,17.7337120,46.831104,17.7337120,,Lake Balaton
HU,46.787744,17.1930660,46.787744,17.1930660,,Hévíz
CH,46.680672,9.67643800,46.680672,9.67643800,20250629,Landwasser Viaduct
CH,46.624206,8.04135600,47.565031,7.10458200,20250704,Grindelwald
CH,46.612762,6.23656500,46.612762,6.23656500,,Jaeger-LeCoultre
CH,46.592964,7.90833700,47.533789,6.97156300,20250704,Lauterbrunnen
CH,46.548130,7.98080500,47.488955,7.04403100,20250704,Jungfraujoch
CH,46.498916,7.72909600,46.498916,7.72909600,20250703,Oeschinensee
UA,46.473707,30.7311900,46.473707,30.7311900,,Odesa
CH,46.427848,8.09337300,46.427848,8.09337300,20250701,Eggishorn
SI,46.364430,14.0939110,46.364430,14.0939110,,Lake Bled
SI,46.337876,13.7505130,46.337876,13.7505130,,Julijske Alpe
HU,46.253161,20.1414740,46.253161,20.1414740,,Szeged
CH,46.203502,6.14346100,46.203502,6.14346100,,Geneve
HU,46.072759,18.2322910,46.072759,18.2322910,,Pécs
SI,46.057032,14.5057160,46.057032,14.5057160,,Ljubljana
SI,46.050742,13.5956230,46.050742,13.5956230,,Soča
IT,46.028025,9.25218700,46.028025,9.25218700,20250630,Lake Como
CH,46.020360,7.74645000,46.961185,6.80967600,20250702,Zermatt
CH,46.003692,8.95103100,46.003692,8.95103100,20250630,Lugano
CH,45.975991,7.65855400,46.916816,6.72178000,20250702,Matterhorn
IT,45.963174,9.05215200,45.963174,9.05215200,20250630,Alpe Grande
CH,45.936806,7.86514300,45.936806,7.86514300,20250702,Mount Rosa
FR,45.922996,6.86819300,46.863821,5.93141900,,Chamonix
FR,45.834368,6.86534800,46.775193,5.92857400,,French Alps
CH,45.832217,6.86499400,46.773042,5.92822000,,Mont Blanc
SI,45.666021,13.9899410,46.606846,14.9267150,,Skocjan Caves
SI,45.665839,13.9900440,46.606664,14.9268180,,Skocjanske jame
RO,45.643256,25.5886230,45.643256,25.5886230,,Brașov
RO,45.570236,24.6111640,45.570236,24.6111640,,Transfarasan
SI,45.528355,13.5682850,46.376321,13.1060190,,Piran
SI,45.528315,13.5682780,46.377197,13.0942450,,Piran
RO,45.515048,25.3671330,45.515048,25.3671330,,Bran Castle
IT,45.486189,12.4166350,46.469140,12.8018260,,Burano
IT,45.464319,9.19187900,45.464319,9.19187900,,Duomo di Milano
IT,45.445868,10.9903620,45.445868,10.9903620,,Verona
IT,45.441567,12.3160190,46.469180,12.8018330,,Venice
IT,45.436372,12.3277930,46.427014,13.1830870,,Grand Canal
IT,45.435496,12.3395670,46.382392,13.0824710,,Saint Mark's Basilica
IT,45.415861,11.8777160,45.415861,11.8777160,,Padua
HR,45.279992,13.8886860,45.279992,13.8886860,,Istria
RS,45.156519,19.7442640,45.156519,19.7442640,,Fruška Gora National Park
RO,45.127142,29.0002430,45.127142,29.0002430,,Danube Delta
RO,45.003755,21.9594340,45.003755,21.9594340,,Bigar Cascade Falls
HR,44.865745,15.5818560,44.865745,15.5818560,,Plitvice Lakes National Park
RS,44.813720,20.4610860,44.813720,20.4610860,,Belgrade
RO,44.263353,28.6187560,44.263353,28.6187560,,Mamaia
HR,44.119543,15.2312630,44.119543,15.2312630,,Zadar
FR,44.014432,6.21156600,44.014432,6.21156600,,Provence Region
SM,43.942742,12.4610000,35.42742,2.81,,San Marino
SM,43.935227,12.4493220,36.25227,2.19322,,Guaita Tower
SM,43.909673,12.4863770,34.59673,3.06377,,Montegiardino
FR,43.894757,6.12891100,43.894757,6.12891100,,Lavender Fields
BA,43.856394,18.4130490,43.856394,18.4130490,,Sarajevo
RS,43.851417,19.4591380,42.910592,18.6926860,,Tara National Park
RS,43.794063,19.5120140,42.853238,20.4487880,,Mokra Gora
IT,43.774521,11.2571920,43.774521,11.2571920,,Florance
FR,43.761415,6.37905200,43.761415,6.37905200,,Verdon Gorge
MC,43.742242,7.43082700,42.801417,8.19727900,,Le Jardin Japonais
MC,43.740076,7.42660800,42.799251,6.48983400,,Monte-Carlo
MC,43.734541,7.42252300,42.793716,8.18897500,,Monaco Hercules Harbour
RS,43.730492,19.6981930,43.730492,19.6981930,,Zlatibor
IT,43.728365,10.3962120,43.728365,10.3962120,,Tower of Pisa
BA,43.720573,18.5616860,43.720573,18.5616860,,Jahorina
BA,43.704322,18.2566580,43.704322,18.2566580,,Bjelašnica
IT,43.611222,13.5100340,43.611222,13.5100340,,Ancona
IT,43.569615,10.9809480,43.569615,10.9809480,,Tuscany
HR,43.515734,16.4428050,43.515734,16.4428050,,Split
IT,43.418760,10.8542120,43.418760,10.8542120,,Volterra
RU,43.358667,42.4456150,43.358667,42.4456150,,Mt Elbris
BA,43.337410,17.8150020,43.337410,17.8150020,,Old Bridge Mostar
RS,43.320940,21.8954120,43.320940,21.8954120,,Niš
BA,43.317080,18.6664010,43.317080,18.6664010,,Sutjeska
FR,43.254523,6.63796200,43.254523,6.63796200,,French Riviera
BG,43.239906,27.6632400,43.239906,27.6632400,,Pobitite Kamuni
BG,43.216823,27.9147560,43.216823,27.9147560,,Varna
ME,43.211811,19.1169780,43.211811,19.1169780,,Durmitor National Park
BA,43.156086,17.6081030,43.156086,17.6081030,,Kravica Waterfall
HR,43.155406,16.6520560,43.155406,16.6520560,,Hvar
BG,43.076175,25.6171110,43.076175,25.6171110,,Veliko Tarnovo
IT,43.071943,11.6421590,43.071943,11.6421590,,Val d'Orcia
RS,43.063245,43.1310850,43.063245,43.1310850,,Dykh-Tau
GE,42.907368,42.7687480,42.907368,42.7687480,,Svaneti Range
ME,42.900721,19.5955490,42.900721,19.5955490,,Biogradska Gora National Park
BG,42.698029,23.3218460,42.698029,23.3218460,,Sofia
XK,42.694205,20.1653450,42.694205,20.1653450,,Gryka e Rugovës
XK,42.666877,21.1631890,42.666877,21.1631890,,Pristina
HR,42.651021,18.0945560,42.651021,18.0945560,,Dubrovnik
IT,42.630540,12.1126540,42.630540,12.1126540,,Civita di Bagnoregio
AD,42.510053,1.53877800,42.510053,1.53877800,,Pal Arinsal
AD,42.510053,1.53877800,42.510053,1.53877800,,Escaldes-Engordany
AD,42.506291,1.52186100,42.506291,1.52186100,,Andorra la Vella
ME,42.486068,18.6983010,41.453486,18.1501590,,Perast
AL,42.456005,19.8031130,42.456005,19.8031130,,Albanian Alps
ME,42.429855,18.6531350,41.456819,18.0768570,,Bay of Kotor
ME,42.424786,18.7712310,41.483961,18.3454250,,Kotor
BG,42.417764,27.6961050,42.417764,27.6961050,,Sozopol
ME,42.399497,18.7834710,41.489030,19.5899090,,Tivat Bay Panorama
ME,42.397644,18.8433090,41.545243,19.6350750,,Lovćen National Park
ME,42.394311,18.9166110,41.458672,18.0170190,,Cetinje
ME,42.291272,18.8401430,42.291272,18.8401430,,Budva
BG,42.202959,23.3200050,42.202959,23.3200050,,Seven Rila Lakes
AL,42.187331,19.2910570,42.187331,19.2910570,,Shkodra Lake
BG,42.135611,24.7453020,42.135611,24.7453020,,Plovdiv
BG,42.133516,23.5499150,42.133516,23.5499150,,Rila
IT,42.088095,14.0858440,42.088095,14.0858440,,Maiella
GE,42.025806,43.1112280,42.025806,43.1112280,,Vardzia
MK,41.998351,21.4254370,41.998351,21.4254370,,Skopje
AZ,41.949271,50.6725650,41.949271,50.6725650,,Caspian Sea
VA,41.903475,12.4561130,35.808500,-1.9332200,,Apostolic Palace
VA,41.902911,12.4533880,34.849320,-2.7967200,,Vatican City
VA,41.902911,12.4544700,35.374660,-3.1318000,,Sistine Chapel
VA,41.902186,12.4567130,34.231160,-2.2972200,,Saint Peter's Square
IT,41.897559,12.4820010,40.962086,13.2198400,,Rome
IT,41.890300,12.4922180,40.961361,11.5199390,,Colosseum
GE,41.852127,44.7189590,41.852127,44.7189590,,Mtskheta
BG,41.724809,23.4148170,41.724809,23.4148170,,Pirin National Park
GE,41.697734,44.8000990,41.697734,44.8000990,,Tbilisi
MK,41.662366,20.7352430,41.662366,20.7352430,,Mavrovo National Park
GE,41.646804,41.6405270,41.646804,41.6405270,,Batumi
GE,41.623319,45.9218660,41.623319,45.9218660,,Sighnaghi
MK,41.552598,21.9752530,41.552598,21.9752530,,Archaeological Park Stobi
BG,41.524636,23.3915040,41.524636,23.3915040,,Melnik
MK,41.409863,22.2436450,41.409863,22.2436450,,Demir Kapija
ES,41.403879,2.17431800,41.063054,0.63754400,20120101,Sagrada Familia
ES,41.391696,2.16490000,41.723054,2.32812600,20120101,Casa Batlo
ES,41.387363,2.16860100,41.387363,2.16860100,20120101,Barcelona
AL,41.327734,19.8185880,41.327734,19.8185880,,Tiranë
PT,41.157936,-8.6291080,41.157936,-8.6291080,,Porto
MK,41.123300,20.8016170,41.123300,20.8016170,,Ohrid
IT,41.116235,14.8448590,41.116235,14.8448590,,Campania
AM,41.068095,43.6267080,41.068095,43.6267080,,Lake Arpi
TR,41.010970,28.9681370,40.570145,29.9049110,,Grand Bazaar
TR,41.008604,28.9783560,41.008604,28.9783560,,Instanbul
MK,41.001749,21.2129380,41.001749,21.2129380,,Pelister National Park
ES,40.948086,-4.1179140,40.948086,-4.1179140,20120101,Segovia Aquaduct
IT,40.910336,14.3295240,40.910336,14.3295240,,Naples
MK,40.869602,20.9884570,40.869602,20.9884570,,Golem Grad
IT,40.834338,14.4310970,40.834338,14.4310970,,Mount Vesuvius
AL,40.818745,19.5928560,40.818745,19.5928560,,Manastiri i Ardenicës
AM,40.788826,44.8651690,40.788826,44.8651690,,Dilijan National Park
IT,40.766522,14.0285420,40.766522,14.0285420,,Procida
IT,40.763921,14.5048720,40.763921,14.5048720,,Pompei
AL,40.721042,19.4711750,40.721042,19.4711750,,Apollonia Archaeological Park
AL,40.705303,19.9518930,40.705303,19.9518930,,Berat
GR,40.658811,22.9549990,40.658811,22.9549990,,Meteora
IT,40.633507,14.6028580,40.633507,14.6028580,,Almalfi Coast
PT,40.617417,-8.7534070,40.617417,-8.7534070,,Praia da Costa Nova
AM,40.564888,45.0109110,40.564888,45.0109110,,Sevanavank Monastery
IT,40.561037,14.2055880,40.561037,14.2055880,,Blue Grotto
AZ,40.440753,49.6988130,40.440753,49.6988130,,Mud Volcano
