number,name,submap,latitude,longitude,values,date
165,Gauley River NRA,WV,38.22416027317687,-80.99140617671122,0.0,20150906
166,General Grant NMem,NY,40.81386256897201,-73.96329735465561,0.0,20180721
167,George Rogers Clark NHP,IN,38.67897941591457,-87.5367164030902,0.0,20160811
168,George Washington Birthplace NM,VA,38.18398079647575,-76.92023697032334,0.0,20151010
169,George Washington Carver NM,MO,36.98624456309786,-94.3547008893739,0.0,20171126
170,George Washington Mem. PKWY,DC,38.84422322681608,-77.04923834964204,0.0,20151228
171,Gettysburg NMP,PA,39.806177694138775,-77.24215874429233,0.0,20160529
172,Gila Cliff Dwellings NM,NM,33.22795002584763,-108.27075024617696,0.0,0
173,Glacier Bay NP&NPres,AK,58.78610208354336,-136.96688312340547,0.0,0
174,Glacier NP,MT,48.767670574002615,-113.79035554101056,0.0,0
175,Glen Canyon NRA,UT,36.91997071660075,-111.4756957617485,0.0,0
176,Golden Gate NRA,CA,37.84745766255077,-122.5306164445791,0.0,20150517
177,Golden Spike NHP,UT,41.61735179234952,-112.55072115746806,0.0,0
178,Governors Island NM,NY,40.69040625115305,-74.01745349130702,0.0,20180722
179,Grand Canyon NP,AZ,36.39111870849107,-112.37343708324757,0.0,0
180,Grand Portage NM,MN,47.962664732287415,-89.68488297854043,0.0,0
181,Grand Teton NP,WY,43.88659728339675,-110.7336343759602,0.0,20150524
182,Grant-Kohrs Ranch NHS,MT,46.40646959119883,-112.73667594382268,0.0,0
183,Great Basin NP,NV,38.94668392274632,-114.25657156761416,0.0,0
184,Great Egg Harbor SRR,NJ,39.307595839348,-74.65032631400062,0.0,20160717
185,Great Sand Dunes NP,CO,37.86227949760563,-105.64652411676616,0.0,20181016
186,Great Smoky Mountains NP,NC,36.019197998927325,-83.49297282087267,0.0,20161008
187,Greenbelt Park,DC,38.98406730869318,-76.89728799793228,0.0,20151228
188,Guadalupe Mountains NP,TX,31.9589121390612,-104.86959153708794,0.0,20171221
189,Guilford Courthouse NMP,NC,36.13361084614618,-79.84162663628051,0.0,20150606
190,Gulf Islands NS,MS,30.3570861223782,-87.0357011912012,0.0,20171201
191,Gullah Geechee NHA,GA,34.01890018921234,-78.51538119654482,0.0,20150531
192,Hagerman Fossil Beds NM,ID,42.83214973967571,-114.89188908640446,0.0,0
193,Haleakala NP,HI,20.728288535954057,-156.15643618107651,0.0,0
194,Hamilton Grange NMem,NY,40.82210136055205,-73.94725581167171,0.0,20180720
195,Hampton NHS,MD,39.41697560479516,-76.58767335148984,0.0,20160327
196,Harpers Ferry NHP,WV,39.31817805934144,-77.75811552151214,0.0,20160530
197,Harriet Tubman NHP,NY,42.92374113694391,-76.5760364124097,0.0,20160919
198,Harriet Tubman Underground Railroad NHP,VA,38.45051450656644,-76.13770687676381,0.0,20160325
199,Harry S Truman NHS,MS,39.09393626572962,-94.42354109483168,0.0,0
200,Hawaii Volcanoes NP,HI,19.556020900995943,-155.4743123921899,0.0,0
201,Herbert Hoover NHS,IA,41.67013130693787,-91.34633347673726,0.0,20181008
202,Hohokam Pima NM,AZ,33.189372785758074,-111.92248982868315,0.0,0
203,Home of Franklin D. Roosevelt NHS,NY,41.7683600643813,-73.93530247687958,0.0,20160919
204,Homestead NHP,NE,40.28697334051471,-96.8327362335534,0.0,0
205,Honouliuli NHS,HI,21.390279031707244,-158.05810964850176,0.0,0
206,Hopewell Culture NHP,OH,39.37618765242406,-83.00648435929487,0.0,20181005
207,Hopewell Fernace NHS,PA,39.9500689,-75.1497751,0.0,20160326
208,Horseshoe Bend NMP,AL,32.9767063477324,-85.73377386958398,0.0,20160130
209,Hot Springs NP,AR,34.5324235167162,-93.07239629017144,0.0,20171129
210,Hovenweep NM,UT,37.38406467571455,-109.0726142765121,0.0,0
211,Hubbell Trading Post NHS,AZ,35.70964789371538,-109.55845198136298,0.0,0
212,Hudson River Valley NHA,NY,41.088507274386565,-73.96824805843465,0.0,20160920
213,Ice Age NST,WI,44.27889547129056,-89.23800226102513,0.0,0
214,Independence NHP,PA,39.95041603877493,-75.14981972286768,0.0,20160716
215,Indiana Dunes NP,IN,41.65828365320674,-87.05173213545861,0.0,0
216,Isle Royale NP,MI,48.01998232693837,-88.92532268983268,0.0,0
217,James A Garfield NHS,OH,41.665392913253584,-81.35088547785094,0.0,20170414
218,Jean Lafitte NHP&Pres,LA,29.81087137659588,-90.13394258486508,0.0,20171202
219,Jefferson Mem,DC,38.881721948686064,-77.0365911904093,0.0,20151226
220,Jewel Cave NM,SD,43.73143282159258,-103.8298744839508,0.0,20181123
221,Jimmy Carter NHP,GA,32.03728597037987,-84.39251193737125,0.0,20160131
222,John D RockeFeller Jr Memorial PKWY,WY,44.08341550808631,-110.6819280712523,0.0,20150524
223,John Day Fossil Beds NM,OR,44.63507917821037,-120.23907420195054,0.0,20210715
224,John F Kennedy NHS,MA,42.34742696176482,-71.12330395369952,0.0,20150610
225,John Muir NHS,CA,37.99269370601797,-122.13109641021796,0.0,20190706
226,Johnstown Flood NMem,PA,40.3504570498491,-78.77160555268227,0.0,20160619
227,Joshua Tree NP,CA,33.93048075383822,-115.91606998679704,0.0,20160510
228,Juan Bautista de Anza NHT,CA,34.20525394500215,-118.73561680339486,0.0,20160509
229,Kalaupapa NHP,HI,21.193378009609937,-156.96663569830332,0.0,0
230,Kaloko-Honokohau NHP,HI,19.67825897519251,-156.02163653630075,0.0,0
231,Katahdin Woods and Waters NM,ME,45.957323311485936,-68.71228711465142,0.0,20160923
232,Katmai NP NPres,AK,58.60538199068286,-154.95996264582317,0.0,0
233,Kenai Fjords NP,AK,59.92939159731911,-150.1625651423825,0.0,0
234,Kennesaw Mountain NBP,GA,33.95179155359891,-84.59650921490585,0.0,20151004
235,Keweenaw NHP,MI,47.2425634651683,-88.44820924424964,0.0,0
236,Kings Canyon NP,CA,36.90569694354536,-118.55513341327976,0.0,0
237,Kings Mountain NMP,SC,35.13908271736982,-81.39103892208101,0.0,20150718
238,Klondike Gold Rush NHP,AK,47.60009333380397,-122.33202598285006,0.0,20210725
239,Knife River Indian Villages NHS,ND,47.331976980987655,-101.38582127874557,0.0,0
240,Kobuk Valley NP,AK,67.50787793168357,-159.2262922854816,0.0,0
241,Korean War Veterans Mem,DC,38.88859652842653,-77.04771046821497,0.0,20151226
242,Lake Chelan NRA,WA,48.35732506638798,-120.68541344959507,0.0,20210711
243,Lake Clark NP&NPres,AK,60.63425499319311,-153.30417522882277,0.0,0
244,Lake Mead NRA,NV,36.155341956641,-114.45586868146567,0.0,0
245,Lake Meredith NRA,TX,35.64469578447446,-101.58667666244273,0.0,20171221
246,Lake Roosevelt NRA,WA,48.13990339563261,-118.2467678028598,0.0,20210712
247,Lassen Volcanic NP,CA,40.565134616946814,-121.42075982927662,0.0,20190704
248,Lava Beds NM,CA,41.77550293460772,-121.50677203928362,0.0,20190703
249,Lewis and Clark NHP,OR,46.13512571830944,-123.88036470703705,0.0,20210717
250,Lewis and Clark NHT,NE,41.26547805473562,-95.924576048863,0.0,20181009
251,Lincoln Boyhood NMem,IN,38.114270108171134,-86.99553875200334,0.0,20160811
252,Lincoln Home NHS,IL,39.79736602623226,-89.64489943323709,0.0,0
253,Lincoln Mem,DC,38.8896413730621,-77.05010210292797,0.0,20151226
254,Little Bighorn Battlefield NM,MT,45.57104344062376,-107.42729947968674,0.0,20181119
255,Little River Canyon NPres,AL,34.417061222852034,-85.60164551167304,0.0,20151003
256,Little Rock Central High School NHS,AR,34.73820634685888,-92.29748817211453,0.0,20171129
257,Longfellow House NHS,MA,42.3774953898866,-71.12632055662039,0.0,20150611
258,Lowell NHP,MA,42.64479123660801,-71.31332584708167,0.0,20160927
259,Lyndon B Johnson NHP,TX,30.243551607192924,-98.60866843491596,0.0,20171207
260,LBJ Memorial Grove on the Potomac Park,DC,38.88064052172131,-77.05136742180211,0.0,20151228
261,Maggie L Walker NHS,DC,37.54831100473329,-77.43732103629338,0.0,20151229
262,Mammoth Cave NP,KY,37.21587736000526,-86.11618919403338,0.0,20160812
263,Manassas NBP,VA,38.81731461136668,-77.53530729551817,0.0,20151010
264,Manhattan Project NHP,TN,36.02375975866061,-84.27136025462008,0.0,20160809
265,Manhattan Project NHP,WA,35.881832804069134,-106.30273818972164,0.0,20181017
266,Manzanar NHS,CA,36.72750810287364,-118.15283103919222,0.0,0
267,Marsh-Billings-RockeFeller NHP,VT,43.6318840646177,-72.51786263425744,0.0,20160922
268,Martin Luther King Jr. NHP,GA,33.75714600882538,-84.37319605556712,0.0,20171124
269,Martin Luther King Jr. Mem,DC,38.887150969818826,-77.04454599306425,0.0,20151226
270,Martin Van Buren NHS,NY,42.37014272208567,-73.70416130944446,0.0,20160920
271,Mary McLeod Bethune Council House NHS,DC,38.90856763949765,-77.03061904499701,0.0,20151226
272,Medgar and Myrlie Evers Home NM,MI,32.341126018146845,-90.21268749448268,0.0,20171130
273,Mesa Verde NP,CO,37.18814180717669,-108.48912674670676,0.0,0
274,Middle Delaware NSR,PA,41.13022106048631,-74.94270172710654,0.0,20160918
275,Mill Springs Battlefield NM,KY,37.06911848193139,-84.7359072587288,0.0,20160814
276,Minidoka NHS,ID,42.67925374268543,-114.24410466998224,0.0,0
277,Minute Man NHP,MA,42.45478979280313,-71.30123108674881,0.0,20160927
278,Minuteman Missle NHS,SD,43.845107913434965,-101.9008554641582,0.0,20181121
279,Mississippi NRRA,MN,44.93248981316008,-93.1127375670338,0.0,0
280,Missouri NRR,SD,42.86973768084819,-97.38494200942009,0.0,20181009
281,Mojave NPres,CA,35.123652153041824,-115.52045190907866,0.0,20160511
282,Monocacy NB,MD,39.37812709886845,-77.39706560181676,0.0,20160528
283,Montezuma Castle NM,AZ,34.61186188247145,-111.83487362556866,0.0,0
284,Moores Creek NB,NC,34.45868722443672,-78.11044020337408,0.0,20150531
285,Morristown NHP,NJ,40.797110680527766,-74.46596258217562,0.0,20160917
286,Mount Rainier NP,WA,46.93986442863277,-121.69411663177956,0.0,20210718
287,Mount Rushmore NMem,SD,43.88083333255275,-103.45376111587704,0.0,20181122
288,Muir Woods NM,CA,37.89779185038824,-122.58146869163156,0.0,20150518
289,Natchez NHP,MI,31.55511794609357,-91.41234386494534,0.0,20171205
290,Natchez Trace NST,TN,35.87436832506771,-87.03210893168867,0.0,20171124
291,Natchez Trace PKWY,TN,33.76735835037296,-89.01880331235533,0.0,20171124
292,National Capital Parks-East Park,DC,38.8663198564975,-76.99391707599663,0.0,20151226
293,National Mall Park,DC,38.89040165409813,-77.03512523762963,0.0,20151226
294,National Park of American Samoa NP,AS,-14.251819010320196,-170.68671837448667,0.0,0
295,Natural Bridges NM,UT,37.60326572500643,-110.00577117519128,0.0,0
296,Navajo NM,AZ,36.68209390846302,-110.53285950768348,0.0,0
297,New Bedford Whaling NHP,MA,41.63595182335167,-70.92393064531525,0.0,20160928
298,New England NST,MA,41.27237433486885,-72.67002499820923,0.0,20160929
299,New Orleans Jazz NHP,LA,29.960042268171502,-90.06088390668913,0.0,20171202
300,New Philadelphia NHS,IL,39.69810837801518,-90.96171894114876,0.0,0
301,New River Gorge NP&Pres,WV,37.929867069231705,-81.05061775034412,0.0,20150906
302,Nez Perce NHP,ID,46.448003369241896,-116.8224485226628,0.0,20210713
303,Nicodemus NHS,KS,39.3934436685301,-99.61468389710816,0.0,0
304,Ninety Six NHS,SC,34.14724334931511,-82.02301222329851,0.0,20150823
305,Niobrara NSR,NE,42.86890726765854,-100.5531533704933,0.0,20181009
306,Noatak NPres,AK,68.13616423611543,-159.90742667374997,0.0,0
307,North Cascades NP,WA,48.77288985155399,-121.2982356957661,0.0,20210711
308,North Country NST,NY,43.28823364780196,-75.4153150918137,0.0,20160920
309,Obed WSR,TN,36.122404326190924,-84.79019715571201,0.0,20160809
310,Ocmulgee NHP,GA,32.818837610157026,-83.59076627922907,0.0,20160131
311,Oklahoma City NMem,OK,35.474196186458805,-97.5173002012818,0.0,20171222
312,Old Post Offce Tower,DC,Mem,38.89505955304455,-77.02730277187794,0.0,20151226
313,Olympic NP,WA,47.9053581885139,-123.62750862508366,0.0,20210722
314,Oregon Caves NM,OR,42.0988371981579,-123.40682911371032,0.0,20190701
315,Organ Pipe Cactus NM,NM,32.02837284136767,-112.8321304688935,0.0,0
316,Ozark NSR,AR,37.00086187807244,-91.0161332928979,0.0,20171128
317,Oregon NHT,OR,44.81522589060173,-117.72851362621648,0.0,20210716
318,Overmountain Victory NHT,SC,35.14235749789572,-81.34473234331081,0.0,20150718
319,Pacific Crest NST,WA,48.591907941324884,-120.40481643171697,0.0,20210711
320,Padre Island NS,TX,27.08627597574708,-97.38411526965062,0.0,20171208
321,Palo Alto Battlefield NHP,TX,26.018016465001296,-97.47898065431656,0.0,20171210
322,Paterson Great Falls NHP,NJ,40.91569956652449,-74.17965208181592,0.0,20160917
323,Pea Ridge NMP,AR,36.44385881148793,-94.02651815971468,0.0,20171128
324,Pearl Harbor NMem,HI,21.367947081906653,-157.9388892425156,0.0,0
325,Pecos NHP,NM,35.54829816567577,-105.6844484540841,0.0,20181018
326,Pennsylvania Avenue NHS,DC,38.89921085672846,-77.03498147274031,0.0,20151226
327,Perry's Victory and International Peace Mem,MI,41.654503001513845,-82.81132598874824,0.0,0
328,Petersburg NB,VA,37.22923164346111,-77.36629222427092,0.0,20151011
329,Peterson House NHS,DC,38.89719763807421,-77.02657323426008,0.0,20151226
330,Petrified Forest NP,AZ,35.069264851450136,-109.78227152356266,0.0,0
