name,submap,latitude,longitude,values,date
Theodore Roosevelt Island Park,DC,38.89675439332076,-77.06231710443734,0.0,20151228
Old Post Offce Tower Mem,DC,38.89505955304455,-77.02730277187794,0.0,20151226
Belmont-Paul Women's Equality NM,DC,38.89395001562354,-77.00390169606317,0.0,20160716
Constitution Gardens Park,DC,38.89208094484619,-77.04451718355718,0.0,20151226
Vietnam Veterans Mem,DC,38.89195576683313,-77.04774581624858,0.0,20151226
National Mall Park,DC,38.89040165409813,-77.03512523762963,0.0,20151226
Washington Monument Park,DC,38.89022987158848,-77.03533505408237,0.0,20151226
Lincoln Mem,DC,38.8896413730621,-77.05010210292797,0.0,20151226
World War II Mem,DC,38.88949764654867,-77.0405499177578,0.0,20151226
Korean War Veterans Mem,DC,38.88859652842653,-77.04771046821497,0.0,20151226
Dwight D Eisenhower Mem,DC,38.88810056480862,-77.0188737950604,0.0,20151226
Martin Luther King Jr. Mem,DC,38.887150969818826,-77.04454599306425,0.0,20151226
Franklin Delano Roosevelt Memorial,DC,38.883992910218346,-77.04284097136262,0.0,20151226
Arlington House Mem,VA,38.88251708851578,-77.07278846059576,0.0,20151228
Jefferson Mem,DC,38.881721948686064,-77.0365911904093,0.0,20151226
LBJ Memorial Grove on the Potomac Park,DC,38.88064052172131,-77.05136742180211,0.0,20151228
Anacostia Park,DC,38.86827946871436,-76.99534993111291,0.0,20151229
National Capital Parks-East Park,DC,38.8663198564975,-76.99391707599663,0.0,20151226
Frederick Douglass NHS,DC,38.86363515883303,-76.98524052293541,0.0,20151229
George Washington Mem. PKWY,DC,38.84422322681608,-77.04923834964204,0.0,20151228
Manassas NBP,VA,38.81731461136668,-77.53530729551817,0.0,20151010
Ford's Theatre NHS,DC,38.76879716,-77.02553698,0.0,20151226
Fort Foote Park,DC,38.76784271888985,-77.02496847503694,0.0,20151010
Fort Washington Park,MD,38.7120110173,-77.02874790345528,0.0,20151010
Piscataway Park,DC,38.68789938334353,-77.04993678838738,0.0,20151010
George Rogers Clark NHP,IN,38.67897941591457,-87.5367164030902,0.0,20160811
Gateway Arch NP,UT,38.625504043574765,-90.18608880999714,0.0,0
Black Canyon of the Gunnison NP,CO,38.62146529286767,-107.7430049188367,0.0,0
Prince William Forest Park,VA,38.58581645654556,-77.38427849677515,0.0,20151009
Ulysses S Grant NHS,MI,38.55145648971306,-90.35175170727464,0.0,0
Sand Creek Massacre NHS,CO,38.54475888885499,-102.50388618527974,0.0,0
Thomas Stone NHS,MD,38.530532025810444,-77.03627387774036,0.0,20151011
Shenandoah NP,VA,38.497963498666046,-78.45062738565689,0.0,20160530
Curecanti NRA,CO,38.46627876598758,-107.16673209445348,0.0,0
Harriet Tubman Underground Railroad NHP,VA,38.45051450656644,-76.13770687676381,0.0,20160325
Tallgrass Prairie NPres,KS,38.43268785466905,-96.55707561920389,0.0,0
Canyonlands NP,UT,38.39710932742917,-109.9720074738202,0.0,20150527
Underground Railroad Network Park,VA,38.305326282619,-76.63601723271833,0.0,20151011
Fredericksburg and Spotsylvania NMP,VA,38.29398834669843,-77.46742910725627,0.0,20151009
Gauley River NRA,WV,38.22416027317687,-80.99140617671122,0.0,20150906
George Washington Birthplace NM,VA,38.18398079647575,-76.92023697032334,0.0,20151010
Fort Larned NHS,KS,38.18308288393273,-99.22114560520824,0.0,0
Capitol Reef NP,UT,38.13376410922067,-111.15776496672925,0.0,0
Lincoln Boyhood NMem,IN,38.114270108171134,-86.99553875200334,0.0,20160811
Assateague Island NS,VA,38.077546119762125,-75.23576133389881,0.0,20160325
Port Chicago Naval Magazine NM,CA,38.058786541140016,-122.03021316622797,0.0,20190706
Amache NHS,CO,38.05658480471467,-102.32927880606826,0.0,0
Point Reyes NS,CA,38.05449275957061,-122.88788051767848,0.0,20190629
Bent's Old Fort NHS,CO,38.04093395999114,-103.42962284017536,0.0,0
John Muir NHS,CA,37.99269370601797,-122.13109641021796,0.0,20190706
Ste Genevieve NHP,MI,37.97445286307878,-90.040880195565,0.0,0
New River Gorge NP&Pres,WV,37.929867069231705,-81.05061775034412,0.0,20150906
Rosie the Riveter NHP,CA,37.91014225745344,-122.35753981287738,0.0,20190706
Yosemite NP,CA,37.90586066110149,-119.5541019052134,0.0,0
Muir Woods NM,CA,37.89779185038824,-122.58146869163156,0.0,20150518
Great Sand Dunes NP,CO,37.86227949760563,-105.64652411676616,0.0,20181016
Golden Gate NRA,CA,37.84745766255077,-122.5306164445791,0.0,20150517
Fort Scott NHS,KS,37.84416586833918,-94.70439398735596,0.0,20171126
Eugene O'Neall NHS,CA,37.82711919868202,-122.02724911568154,0.0,20190706
Fort Point NHS,CA,37.81122890245474,-122.47692668756206,0.0,20150517
San Francisco Maritime NHP,CA,37.80802602187967,-122.42455708167348,0.0,20150517
Camp Nelson NM,KY,37.79752247563955,-84.60079625267547,0.0,20160814
Bryce Canyon NP,UT,37.78267989073462,-112.2243072660506,0.0,0
Cedar Breaks NM,UT,37.6368926629955,-112.8452291051868,0.0,0
Devils Postpile NM,CA,37.61622764485837,-119.08765356158388,0.0,0
Natural Bridges NM,UT,37.60326572500643,-110.00577117519128,0.0,0
Maggie L Walker NHS,DC,37.54831100473329,-77.43732103629338,0.0,20151229
Abraham Lincoln Birthplace NHP,KY,37.53116708075535,-85.73749279514995,0.0,20160811
Richmond NBP,VA,37.52734177245004,-77.4121627850455,0.0,20151011
Sangre de Cristo NHA,CO,37.47124390214331,-105.86558895146295,0.0,20181016
Bluestone NSR,WV,37.4515631844162,-81.17338657323535,0.0,20150906
Hovenweep NM,UT,37.38406467571455,-109.0726142765121,0.0,0
Appomattox Court House NHP,VA,37.38065164573938,-78.79833524421805,0.0,20150808
Zion NP,UT,37.31643555428096,-113.03070742173874,0.0,0
Yucca House NM,CO,37.25174562033068,-108.68580913172984,0.0,0
Colonial NHP,VA,37.23099860014624,-76.50276750954013,0.0,20160325
Petersburg NB,VA,37.22923164346111,-77.36629222427092,0.0,20151011
Mammoth Cave NP,KY,37.21587736000526,-86.11618919403338,0.0,20160812
Captain John Smith Chesapeake NHT,VA,37.21256772288552,-76.77824888619585,0.0,20151010
Mesa Verde NP,CO,37.18814180717669,-108.48912674670676,0.0,0
Booker T Washington NM,VA,37.12083817840605,-79.73187115273858,0.0,20150808
Wilson's Creek NB,MI,37.116460578708846,-93.41989684094852,0.0,20171126
Rainbow Bridge NM,UT,37.07766319908669,-110.96431073948575,0.0,0
Mill Springs Battlefield NM,KY,37.06911848193139,-84.7359072587288,0.0,20160814
Death Valley NP,CA,37.02078607831237,-117.17056931416845,0.0,0
Fort Monroe NM,VA,37.00460661631604,-76.30726453741133,0.0,20160325
Ozark NSR,AR,37.00086187807244,-91.0161332928979,0.0,20171128
George Washington Carver NM,MO,36.98624456309786,-94.3547008893739,0.0,20171126
Glen Canyon NRA,UT,36.91997071660075,-111.4756957617485,0.0,0
Kings Canyon NP,CA,36.90569694354536,-118.55513341327976,0.0,0
Pipe Spring NM,AZ,36.86336850972473,-112.73761125419036,0.0,0
Aztec Ruins NM,NM,36.836279297013725,-107.99953585471268,0.0,0
Capulin Volcano NM,NM,36.802541963242966,-103.97549428620432,0.0,20181016
Manzanar NHS,CA,36.72750810287364,-118.15283103919222,0.0,0
Navajo NM,AZ,36.68209390846302,-110.53285950768348,0.0,0
Cumberland Gap NHP,KY,36.62661491086517,-83.60853013118215,0.0,20160814
Blue Ridge PKWY,VA,36.56970543695063,-80.9078661772477,0.0,20150802
Big South Fork NRRA,TN,36.53594827877208,-84.66549172434745,0.0,20160814
Sequoia NP,CA,36.520013904619766,-118.5745746474029,0.0,0
Pinnacles NP,CA,36.51859164165713,-121.1892998584751,0.0,20150515
Fort Donelson NB,KY,36.48224353116664,-87.86347096398981,0.0,20160810
Pea Ridge NMP,AR,36.44385881148793,-94.02651815971468,0.0,20171128
Grand Canyon NP,AZ,36.39111870849107,-112.37343708324757,0.0,0
Tule Springs Fossil Beds NM,NV,36.33634030506516,-115.2786277206856,0.0,0
Andrew Johnson NHS,TN,36.16323500655847,-82.82948949948852,0.0,20160806
Lake Mead NRA,NV,36.155341956641,-114.45586868146567,0.0,0
Guilford Courthouse NMP,NC,36.13361084614618,-79.84162663628051,0.0,20150606
Obed WSR,TN,36.122404326190924,-84.79019715571201,0.0,20160809
Canyon De Chelly NM,AZ,36.12014175510601,-109.3195505988222,0.0,0
Chaco Culture NHP,NM,36.0536404304614,-107.95587380525312,0.0,0
Manhattan Project NHP,TN,36.02375975866061,-84.27136025462008,0.0,20160809
Great Smoky Mountains NP,NC,36.019197998927325,-83.49297282087267,0.0,20161008
Wright Brothers NM,NC,36.01705597857926,-75.66813561778213,0.0,20151024
Buffalo NR,AR,35.983222761297185,-92.7548347229774,0.0,20171128
Fort Raleigh NHS,NC,35.93601269242656,-75.70873353513643,0.0,20151024
Fort Union NM,NM,35.905864213775935,-105.01158073363452,0.0,20181016
Manhattan Project NHP,WA,35.881832804069134,-106.30273818972164,0.0,20181017
Stones River NB,TN,35.87643577935824,-86.43068853626157,0.0,20160810
Natchez Trace NST,TN,35.87436832506771,-87.03210893168867,0.0,20171124
Valles Caldera NPres,NM,35.832763469807944,-106.4870279557957,0.0,20181017
Cape Hatteras NS,NC,35.79712839076782,-75.54649250109124,0.0,20151025
Bandelier NM,NM,35.77932963,-106.2709601,0.0,20181017
Hubbell Trading Post NHS,AZ,35.70964789371538,-109.55845198136298,0.0,0
Santa Fe NHT,NM,35.66545873512,-105.92109469700692,0.0,20181017
Lake Meredith NRA,TX,35.64469578447446,-101.58667666244273,0.0,20171221
Washita Battlefield NM,OK,35.61741337364235,-99.68653227345727,0.0,20171222
Alibates Flint Quarries NM,TX,35.582621729309594,-101.67338698623377,0.0,20171222
Wupatki NM,AZ,35.56042848172072,-111.39348709384416,0.0,0
Pecos NHP,NM,35.54829816567577,-105.6844484540841,0.0,20181018
Oklahoma City NMem,OK,35.474196186458805,-97.5173002012818,0.0,20171222
Fort Smith NHS,AR,35.388314421692606,-94.42991962999923,0.0,20171127
Sunset Crater Volcano NM,AZ,35.37161656568228,-111.51083444941888,0.0,0
Castle Mountains NM,CA,35.3022484228907,-115.12676169366785,0.0,20160511
Carl Sandburg Home NHS,NC,35.273994183420335,-82.44513734213795,0.0,20150823
Cesar E Chavez NM,CA,35.224151503784924,-118.55829943529316,0.0,0
Walnut Canyon NM,AZ,35.16940616822444,-111.5044420167335,0.0,0
Overmountain Victory NHT,SC,35.14235749789572,-81.34473234331081,0.0,20150718
Shiloh NMP,TN,35.139581603648566,-88.34230939690545,0.0,20171125
Kings Mountain NMP,SC,35.13908271736982,-81.39103892208101,0.0,20150718
Cowpens NB,SC,35.13788592322677,-81.81773929972636,0.0,20150718
Petroglyph NM,NM,35.12462130509288,-106.7525932837392,0.0,0
Mojave NPres,CA,35.123652153041824,-115.52045190907866,0.0,20160511
El Malpais NM,NM,35.118986634423194,-107.82872250663256,0.0,0
Petrified Forest NP,AZ,35.069264851450136,-109.78227152356266,0.0,0
Trail of Tears NHT,TN,35.05162390652403,-85.30935632768336,0.0,20151003
El Morro NM,NM,35.0402178454769,-108.34396228822294,0.0,0
Russell Cave NM,AL,34.979203449482824,-85.80988442362127,0.0,20151003
Chickamauga and Chattanooga NMP,GA,34.93404256171934,-85.28013433441075,0.0,20151003
Tuzigoot NM,AZ,34.769234145664775,-112.02682396108088,0.0,0
Little Rock Central High School NHS,AR,34.73820634685888,-92.29748817211453,0.0,20171129
Cape Lookout NS,NC,34.64303868971449,-76.52659683778988,0.0,20150601
Montezuma Castle NM,AZ,34.61186188247145,-111.83487362556866,0.0,0
Salinas Pueblo Missions NM,NM,34.59573191065774,-106.29793519621064,0.0,0
Hot Springs NP,AR,34.5324235167162,-93.07239629017144,0.0,20171129
Brices Gross Roads NBS,MS,34.5066804821213,-88.72893149352625,0.0,20171124
Chickasaw NRA,OK,34.461846496254104,-97.00702795511089,0.0,20171223
Moores Creek NB,NC,34.45868722443672,-78.11044020337408,0.0,20150531
Little River Canyon NPres,AL,34.417061222852034,-85.60164551167304,0.0,20151003
Channel Islands NP,CA,34.25876841189417,-119.79771947712774,0.0,20160508
