submap,latitude,longitude,date,name,geometry
UT,40.44454739852495,-111.70532914676738,2015-05-26,Timpanagos Cave NM,POINT (-111.70532914676738 40.44454739852495)
NY,40.440206337294754,-73.98849020082417,2018-07-22,Gateway NRA,POINT (-73.98849020082417 40.440206337294754)
CO,40.40869375521765,-105.6908692694385,2018-10-11,Rocky Mountain NP,POINT (-105.6908692694385 40.40869375521765)
PA,40.350457049849105,-78.77160555268227,2016-06-19,Johnstown Flood NMem,POINT (-78.77160555268227 40.350457049849105)
NE,40.28697334051471,-96.8327362335534,,Homestead NHP,POINT (-96.8327362335534 40.28697334051471)
NJ,40.22170812638051,-74.76932143722557,2016-09-17,Crossroads of the American Revolution NHA,POINT (-74.76932143722557 40.22170812638051)
PA,40.10038812373427,-75.4460658106148,2016-03-26,Valley Forge NHP,POINT (-75.4460658106148 40.10038812373427)
PA,40.059492775684895,-78.89486017528708,2016-06-19,Flight 93 NMem,POINT (-78.89486017528708 40.059492775684895)
PA,39.96205634043528,-75.14992085866068,2016-07-16,Edgar Allen Poe NHS,POINT (-75.14992085866068 39.96205634043528)
PA,39.95925148573473,-75.17247663643674,2016-07-16,Benjamin Franklin NMem,POINT (-75.17247663643674 39.95925148573473)
PA,39.950416038774925,-75.14981972286768,2016-07-16,Independence NHP,POINT (-75.14981972286768 39.950416038774925)
PA,39.9500689,-75.1497751,2016-03-26,Hopewell Fernace NHS,POINT (-75.1497751 39.9500689)
PA,39.94391776366156,-75.14745768087886,2016-07-16,Thaddeus Kosciuszko NMem,POINT (-75.14745768087886 39.94391776366156)
PA,39.816216136405,-79.58945534532249,2016-06-18,Fort Necessity NB,POINT (-79.58945534532249 39.816216136405)
PA,39.806177694138775,-77.24215874429234,2016-05-29,Gettysburg NMP,POINT (-77.24215874429234 39.806177694138775)
IL,39.80469445737653,-89.64178648952462,,Springfield 1908 Race Riot NM,POINT (-89.64178648952462 39.80469445737653)
IL,39.797366026232254,-89.64489943323709,,Lincoln Home NHS,POINT (-89.64489943323709 39.797366026232254)
PA,39.795577098908566,-77.26352347854933,2016-05-29,Eisenhower NHS,POINT (-77.26352347854933 39.795577098908566)
PA,39.77648212845025,-79.93159278384081,2016-06-18,Friendship Hill NHS,POINT (-79.93159278384081 39.77648212845025)
OH,39.75598001322475,-84.2117561428621,2018-10-05,Dayton Aviation Heritage NHP,POINT (-84.2117561428621 39.75598001322475)
OH,39.70825466825573,-83.89063834032443,2018-10-06,Charles Young Buffalo Soldiers NM,POINT (-83.89063834032443 39.70825466825573)
IL,39.698108378015185,-90.96171894114877,,New Philadelphia NHS,POINT (-90.96171894114877 39.698108378015185)
DE,39.660401672174494,-75.56358067307171,2016-07-17,First State NHP,POINT (-75.56358067307171 39.660401672174494)
MD,39.64059008388623,-77.4413362189572,2016-05-28,Catoctin Mountain Park,POINT (-77.4413362189572 39.64059008388623)
