,name,latitude,longitude,values,date
260,Lyndon Baines Johnson Memorial Grove on the Potomac,38.88966195,-77.05010791,0.0,20151226
261,Maggie L Walker NHS,35.88129904,-106.3030724,0.0,20181012
262,Mammoth Cave NP,43.63161052,-72.5179175,0.0,20160922
263,Manassas NBP,33.75708919,-84.37321235,0.0,20171124
264,Manhattan Project NHP,42.37076603,-73.70416244,0.0,20160920
265,Manhattan Project NHP,38.90885014,-77.0307092,0.0,20151226
266,Manzanar NHS,36.72750810287364,-118.15283103919222,0.0,0
267,March-Billings-RockeFeller NHP,42.45528705,-71.30210285,0.0,20160927
268,Martin Luther King Jr. NHP,43.84484622,-101.9011215,0.0,20181121
269,Martin Luther King Jr. Memorial,46.90398536,-121.7144439,0.0,20210720
270,Martin Van Buren NHS,42.86960911,-97.38457311,0.0,20181009
271,Mary McLeod Bethune Council House NHS,38.88682837,-77.04431422,0.0,20151228
272,Medgar and Myrlie Evers Home NM,32.341126018146845,-90.21268749448268,0.0,0
273,Mesa Verde NP,37.18814180717669,-108.48912674670676,0.0,0
274,Middle Delaware NSR,41.13022106048631,-74.94270172710654,0.0,0
275,Mill Springs Battlefield NM,37.06911848193139,-84.7359072587288,0.0,0
276,Minidoka NHS,42.67925374268543,-114.24410466998224,0.0,0
277,Minute Man NHP,39.38415951,-77.39867074,0.0,20160328
278,Minuteman Missle NHS,34.45855194,-78.11037497,0.0,20150531
279,Mississippi NRRA,44.93248981316008,-93.1127375670338,0.0,0
280,Missouri NRR,40.79687866,-74.46615167,0.0,20160906
281,Mojave NPres,35.123652153041824,-115.52045190907866,0.0,0
282,Monocacy NB,43.88055569,-103.4537552,0.0,20181122
283,Montezuma Castle NM,34.61186188247145,-111.83487362556866,0.0,0
284,Moores Creek NB,37.8980364,-122.5816147,0.0,20150518
285,Morristown NHP,33.76745087,-89.01878355,0.0,20171125
286,Mount Rainier NP,31.55549857,-91.41245142,0.0,20171205
287,Mount Rushmore NMem,34.33095024,-88.70999566,0.0,20171125
288,Muir Woods NM,38.88809151,-77.03673552,0.0,20151226
289,Natchez NHP,37.88820671,-81.05703229,0.0,20150906
290,Natchez Trace NST,29.95906402,-90.06084942,0.0,20171202
291,Natchez Trace Parkway,46.44790904,-116.822835,0.0,20210713
292,National Capital Parks-East,38.8663198564975,-76.99391707599663,0.0,0
293,National Mall,42.86857898,-100.5530359,0.0,20181009
294,National Park of American Samoa,-14.251819010320196,-170.68671837448667,0.0,0
295,Natural Bridges NM,37.60326572500643,-110.00577117519128,0.0,0
296,Navajo NM,36.68209390846302,-110.53285950768348,0.0,0
297,New Bedford Whaling NHP,41.63595182335167,-70.92393064531525,0.0,0
298,New England NST,41.27237433486885,-72.67002499820923,0.0,0
299,New Orleans Jazz NHP,34.14726674,-82.02310858,0.0,20150823
300,New Philadelphia NHS,39.69810837801518,-90.96171894114876,0.0,0
301,New River Gorge NP and Pres,48.77446823,-121.2988823,0.0,20210711
302,Nez Perce NHP,41.3430263,-79.21364707,0.0,20160920
303,Nicodemus NHS,39.3934436685301,-99.61468389710816,0.0,0
304,Ninety Six NHS,32.83886825,-83.60201404,0.0,20160131
305,Niobrara NSR,36.1227604,-84.79073235,0.0,20160809
306,Noatak NPres,68.13534652378276,-159.90695761362787,0.0,0
307,North Cascades NP,35.47389482,-97.51710673,0.0,20171222
308,North Country NST,38.89473254,-77.0273467,0.0,20151226
309,Obed Wild And Scenic River,47.86956237,-123.6034819,0.0,20210722
310,Ocmulgee NHP,42.098806,-123.4069899,0.0,20190701
311,Oklahoma City NMem,42.59952628,-110.8835794,0.0,20150525
312,Old Post Offce Tower,35.14290598,-81.34477248,0.0,20150618
313,Olympic NP,40.75480321,-121.385906,0.0,20210711
314,Oregon Caves NM,27.08959103,-97.38420415,0.0,20171208
315,Organ Pipe Cactus NM,32.02837284136767,-112.8321304688935,0.0,0
316,Ozark NSR,32.02816950085151,-112.8320621255924,0.0,0
317,Oregon NHT,38.05559192,-122.8874183,0.0,20190629
318,Overmountain Victory NHT,26.01779779,-97.4791016,0.0,20171210
319,Pacific Crest NST,40.91550728,-74.17981886,0.0,20160712
320,Padre Island NS,36.44374606,-94.02666324,0.0,20171128
321,Palo Alto Battlefield NHP,38.89413833,-77.02521644,0.0,20151226
322,Paterson Great Falls NHP,37.22952543,-77.36640826,0.0,20151011
323,Pea Ridge NMP,38.89745433,-77.02661384,0.0,20151226
324,Pearl Harbor NMem,21.367947081906653,-157.9388892425156,0.0,0
325,Pecos NHP,36.50807595,-121.1816646,0.0,20150515
326,Pennsyluania Avenue NHS,44.01358811,-96.32516827,0.0,20181009
327,Perry's Victory and International Peace Memorial,41.654793367611006,-82.81154984263715,0.0,0
328,Petersburg NB,38.6877928,-77.050099,0.0,20151010
329,Peterson House NHS,40.75240828,-111.8200174,0.0,20181011
330,Petrified Forest NP,35.069264851450136,-109.78227152356266,0.0,0
331,Petroglyph NM,35.12462130509288,-106.7525932837392,0.0,0
332,Pictured Rocks NL,46.56890589447937,-86.3186316831853,0.0,0
333,Pinnacles NP,38.05790202,-122.0297033,0.0,20190706
334,Pipe Spring NM,36.86300609161145,-112.73758315064585,0.0,0
335,Pipestone NM,39.05230912,-77.33387137,0.0,20151010
336,Piscataway Park,38.59476991,-77.38323491,0.0,20151009
337,Point Reyes NS,35.54830014,-105.6845392,0.0,20181018
338,Pony Express NHT,32.63626192,-91.40321909,0.0,20171130
339,Port Chicago Naval Magazine NM,33.66802996,-93.59626956,0.0,20171128
340,Potomac Heritage NST,38.59476991,-77.38323491,0.0,20151009
341,Poverty Point NM,32.43284224,-80.67082582,0.0,20190527
342,President William Jefferson Clinton Birthplace Home NHS,41.52412888,-124.0504823,0.0,20190630
343,Prince William Forest Park,29.61373048,-102.7371656,0.0,20171217
344,Pullman NHP,41.694052159675294,-87.60764955412142,0.0,0
345,Pu'uhonua O Honaunau NHP,19.40935111557417,-155.90255421719624,0.0,0
346,Pu'ukohola Heiau NHS,20.02606480514125,-155.82188023655408,0.0,0
347,Rainbow Bridge NM,37.07766319908669,-110.96431073948575,0.0,0
348,Reconstruction Era NHP,38.96778445,-77.04519341,0.0,20160326
349,Redwood NP,40.36280596,-105.6841904,0.0,20181011
350,Richmond NBP,41.83171422,-71.41073225,0.0,20160928
351,Rio Grande Wild and Scene River,37.91012139,-122.3571347,0.0,20190706
352,River Raisin NBP,41.916019951937415,-83.37988243092043,0.0,0
353,Rock Creek Park,48.78605757,-121.0655649,0.0,20210711
354,Rocky Mountain NP,34.97953077,-85.80982052,0.0,20151003
355,Roger Williams NMem,43.50079054,-72.36927092,0.0,20160922
356,Rosie the Riveter NHP,42.5219649,-70.88684533,0.0,20160929
357,Ross Lake NRA,29.32958863,-98.4536479,0.0,20171216
358,Russell Cave NM,37.8067564,-122.4238761,0.0,20150517
359,Sagamore Hill NHS,40.8858320639474,-73.50095453451405,0.0,0
360,Saguaro NP,32.20467663829397,-110.61892510750698,0.0,0
361,Saint Croix Island IHS,45.1289381530093,-67.13366902423219,0.0,0
362,Saint Croix NSR,46.0283998254678,-92.01263619919912,0.0,0
363,Saint Paul's Church NHS,40.89438746338239,-73.82627094885707,0.0,0
364,Saint-Gaudens NHS,37.80676358,-122.4239608,0.0,20190706
365,Salem Maritime NHS,37.47126089,-105.8654155,0.0,20181016
366,Salinas Pueblo Missions NM,34.59573191065774,-106.29793519621064,0.0,0
367,Salt River Bay NHP and Ecological Preserve,17.7758811938846,-64.75606700895979,0.0,0
368,San Antonio Missions NHP,35.66564158,-105.9210309,0.0,20181015
369,San Francisco Maritime NHP,34.10501964,-118.6028898,0.0,20160509
370,San Juan Island NHP,48.58700119684524,-123.1508277173961,0.0,0
371,San Juan NHS,18.4750503734245,-66.12333840402411,0.0,0
372,Sand Creek Massacre NHS,38.54475888885499,-102.50388618527974,0.0,0
373,Sangre de CAsto NHA,42.46853546,-71.00833141,0.0,20160926
374,Santa Fe NHT,41.83455453,-103.7071346,0.0,20181011
375,Santa Monica Mountains NRA,38.70238472,-78.6839126,0.0,20160330
376,Saratoga NHP,38.65992912,-78.50155651,0.0,20160330
377,Saugus Iron Works NHS,35.13943069,-88.34228057,0.0,20171125
378,Scotts Bluff NM,42.10751963,-72.5815946,0.0,20160929
379,Sequoia NP,36.520013904619766,-118.5745746474029,0.0,0
380,Shenandoah Battlefields NHP,39.26669535,-76.57901573,0.0,20151010
381,Shenandoah NP,40.68942321,-74.0444978,0.0,20180722
382,Shiloh NMP,41.40820874,-75.67212627,0.0,20160918
383,Sitka NHP,57.0484537507505,-135.31593885480393,0.0,0
384,Sleeping Bear Dunes NL,45.14585925852495,-86.01338971755784,0.0,0
385,Springfield 1908 Race Riot NM,39.80469445737653,-89.64178648952462,0.0,0
386,Springfield Armory NHS,35.87782266,-86.43128446,0.0,20160810
387,Star Spangled Banner NST,39.94397591,-75.14745296,0.0,20160716
388,Statue of Liberty NM,38.89627503,-77.06361518,0.0,20151228
389,Ste. Genevieve NHP,37.97445286307878,-90.040880195565,0.0,0
390,Steamtown NHS,40.78409018,-74.23416164,0.0,20160917
391,Stones River NB,38.88207273,-77.03561717,0.0,20151226
392,Stonewall NM,40.733814417265314,-74.00243765591922,0.0,0
393,Sunset Crater Volcano NM,35.37161656568228,-111.51083444941888,0.0,0
394,Tallgrass Prairie NPres,38.43273759467223,-96.55714820105892,0.0,0
395,Thaddeus Kosciuszko NMem,38.5349329,-77.03690305,0.0,20151011
396,Theodore Roosevelt Birthplace NHS,40.73902066372994,-73.98906550893453,0.0,0
397,Theodore Roosevelt Inaugural NHS,42.9016643587231,-78.8725290368659,0.0,0
398,Theodore Roosevelt Island,40.44892564,-111.704981,0.0,20150526
