submap,latitude,longitude,label_latitude,label_longitude,date,name
MI,38.551456,-90.3517520,38.551456,-90.3517520,,Ulysses S Grant NHS
CO,38.544759,-102.503886,38.544759,-102.503886,,Sand Creek Massacre NHS
MD,38.530532,-77.0362740,38.530532,-77.0362740,20151011,Thomas Stone NHS
VA,38.497963,-78.4506270,38.497963,-78.4506270,20160530,Shenandoah NP
CO,38.466279,-107.166732,38.466279,-107.166732,,Curecanti NRA
VA,38.450515,-76.1377070,38.450515,-76.1377070,20160325,Harriet Tubman Underground Railroad NHP
KS,38.432688,-96.5570760,38.432688,-96.5570760,,Tallgrass Prairie NPres
UT,38.397109,-109.972007,38.397109,-109.972007,20150527,Canyonlands NP
VA,38.305326,-76.6360170,38.305326,-76.6360170,20151011,Underground Railroad Network Park
VA,38.293988,-77.4674290,38.293988,-77.4674290,20151009,Fredericksburg and Spotsylvania NMP
WV,38.224160,-80.9914060,38.224160,-80.9914060,20150906,Gauley River NRA
VA,38.183981,-76.9202370,38.183981,-76.9202370,20151010,George Washington Birthplace NM
KS,38.183083,-99.2211460,38.183083,-99.2211460,,Fort Larned NHS
UT,38.133764,-111.157765,38.133764,-111.157765,,Capitol Reef NP
IN,38.114270,-86.9955390,38.114270,-86.9955390,20160811,Lincoln Boyhood NMem
VA,38.077546,-75.2357610,38.077546,-75.2357610,20160325,Assateague Island NS
CA,38.058787,-122.030213,38.058787,-122.030213,20190706,Port Chicago Naval Magazine NM
CO,38.056585,-102.329279,38.056585,-102.329279,,Amache NHS
CA,38.054493,-122.887881,38.054493,-122.887881,20190629,Point Reyes NS
CO,38.040934,-103.429623,38.040934,-103.429623,,Bent's Old Fort NHS
CA,37.992694,-122.131096,37.992694,-122.131096,20190706,John Muir NHS
MI,37.974453,-90.0408800,37.974453,-90.0408800,,Ste Genevieve NHP
WV,37.929867,-81.0506180,37.929867,-81.0506180,20150906,New River Gorge NP&Pres
CA,37.910142,-122.357540,37.910142,-122.357540,20190706,Rosie the Riveter NHP
CA,37.905861,-119.554102,37.905861,-119.554102,,Yosemite NP
CA,37.897792,-122.581469,38.556248,-122.423911,20150518,Muir Woods NM
CO,37.862279,-105.646524,37.862279,-105.646524,20181016,Great Sand Dunes NP
CA,37.847458,-122.530616,38.079028,-120.189759,20150517,Golden Gate NRA
KS,37.844166,-94.7043940,37.844166,-94.7043940,20171126,Fort Scott NHS
CA,37.827119,-122.027249,37.827119,-122.027249,20190706,Eugene O'Neall NHS
CA,37.811229,-122.476927,36.984601,-121.366670,20150517,Fort Point NHS
CA,37.808026,-122.424557,37.637806,-121.166100,20150517,San Francisco Maritime NHP
KY,37.797522,-84.6007960,37.797522,-84.6007960,20160814,Camp Nelson NM
UT,37.782680,-112.224307,37.782680,-112.224307,,Bryce Canyon NP
UT,37.636893,-112.845229,37.636893,-112.845229,,Cedar Breaks NM
CA,37.616228,-119.087654,37.616228,-119.087654,,Devils Postpile NM
UT,37.603266,-110.005771,37.603266,-110.005771,,Natural Bridges NM
DC,37.548311,-77.4373210,-11.550670,-80.119630,20151229,Maggie L Walker NHS
KY,37.531167,-85.7374930,37.531167,-85.7374930,20160811,Abraham Lincoln Birthplace NHP
VA,37.527342,-77.4121630,37.527342,-77.4121630,20151011,Richmond NBP
CO,37.471244,-105.865589,37.471244,-105.865589,20181016,Sangre de Cristo NHA
WV,37.451563,-81.1733870,37.451563,-81.1733870,20150906,Bluestone NSR
UT,37.384065,-109.072614,37.384065,-109.072614,,Hovenweep NM
VA,37.380652,-78.7983350,37.380652,-78.7983350,20150808,Appomattox Court House NHP
UT,37.316436,-113.030707,37.316436,-113.030707,,Zion NP
CO,37.251746,-108.685809,37.251746,-108.685809,,Yucca House NM
VA,37.230999,-76.5027680,37.230999,-76.5027680,20160325,Colonial NHP
VA,37.229232,-77.3662920,37.229232,-77.3662920,20151011,Petersburg NB
KY,37.215877,-86.1161890,37.215877,-86.1161890,20160812,Mammoth Cave NP
VA,37.212568,-76.7782490,37.212568,-76.7782490,20151010,Captain John Smith Chesapeake NHT
CO,37.188142,-108.489127,37.188142,-108.489127,,Mesa Verde NP
VA,37.120838,-79.7318710,37.120838,-79.7318710,20150808,Booker T Washington NM
MO,37.116461,-93.4198970,37.116461,-93.4198970,20171126,Wilson's Creek NB
UT,37.077663,-110.964311,37.077663,-110.964311,,Rainbow Bridge NM
KY,37.069118,-84.7359070,37.069118,-84.7359070,20160814,Mill Springs Battlefield NM
CA,37.020786,-117.170569,37.020786,-117.170569,,Death Valley NP
VA,37.004607,-76.3072650,37.004607,-76.3072650,20160325,Fort Monroe NM
AR,37.000862,-91.0161330,37.000862,-91.0161330,20171128,Ozark NSR
MO,36.986245,-94.3547010,36.986245,-94.3547010,20171126,George Washington Carver NM
UT,36.919971,-111.475696,36.919971,-111.475696,,Glen Canyon NRA
CA,36.905697,-118.555133,36.905697,-118.555133,,Kings Canyon NP
AZ,36.863369,-112.737611,36.863369,-112.737611,,Pipe Spring NM
NM,36.836279,-107.999536,36.836279,-107.999536,,Aztec Ruins NM
NM,36.802542,-103.975494,36.802542,-103.975494,20181016,Capulin Volcano NM
CA,36.727508,-118.152831,36.727508,-118.152831,,Manzanar NHS
AZ,36.682094,-110.532860,36.682094,-110.532860,,Navajo NM
KY,36.626615,-83.6085300,36.626615,-83.6085300,20160814,Cumberland Gap NHP
VA,36.569705,-80.9078660,36.569705,-80.9078660,20150802,Blue Ridge PKWY
TN,36.535948,-84.6654920,36.535948,-84.6654920,20160814,Big South Fork NRRA
CA,36.520014,-118.574575,36.520014,-118.574575,,Sequoia NP
CA,36.518592,-121.189300,36.518592,-121.189300,20150515,Pinnacles NP
KY,36.482244,-87.8634710,36.482244,-87.8634710,20160810,Fort Donelson NB
AR,36.443859,-94.0265180,36.443859,-94.0265180,20171128,Pea Ridge NMP
AZ,36.391119,-112.373437,36.391119,-112.373437,,Grand Canyon NP
NV,36.336340,-115.278628,36.336340,-115.278628,,Tule Springs Fossil Beds NM
TN,36.163235,-82.8294890,36.163235,-82.8294890,20160806,Andrew Johnson NHS
NV,36.155342,-114.455869,36.155342,-114.455869,,Lake Mead NRA
NC,36.133611,-79.8416270,36.133611,-79.8416270,20150606,Guilford Courthouse NMP
TN,36.122404,-84.7901970,36.122404,-84.7901970,20160809,Obed WSR
AZ,36.120142,-109.319551,36.120142,-109.319551,,Canyon De Chelly NM
NM,36.053640,-107.955874,36.053640,-107.955874,,Chaco Culture NHP
TN,36.023760,-84.2713600,36.023760,-84.2713600,20160809,Manhattan Project NHP
NC,36.019198,-83.4929730,36.019198,-83.4929730,20161008,Great Smoky Mountains NP
NC,36.017056,-75.6681360,36.198132,-73.9575100,20151024,Wright Brothers NM
AR,35.983223,-92.7548350,35.983223,-92.7548350,20171128,Buffalo NR
NC,35.936013,-75.7087340,35.754937,-74.1781730,20151024,Fort Raleigh NHS
NM,35.905864,-105.011581,35.905864,-105.011581,20181016,Fort Union NM
WA,35.881833,-106.302738,35.881833,-106.302738,20181017,Manhattan Project NHP
TN,35.876436,-86.4306890,35.876436,-86.4306890,20160810,Stones River NB
TN,35.874368,-87.0321090,35.874368,-87.0321090,20171124,Natchez Trace NST
NM,35.832763,-106.487028,35.832763,-106.487028,20181017,Valles Caldera NPres
NC,35.797128,-75.5464930,35.797128,-75.5464930,20151025,Cape Hatteras NS
NM,35.779330,-106.270960,35.779330,-106.270960,20181017,Bandelier NM
AZ,35.709648,-109.558452,35.709648,-109.558452,,Hubbell Trading Post NHS
NM,35.665459,-105.921095,35.665459,-105.921095,20181017,Santa Fe NHT
TX,35.644696,-101.586677,35.644696,-101.586677,20171221,Lake Meredith NRA
OK,35.617413,-99.6865320,35.617413,-99.6865320,20171222,Washita Battlefield NM
TX,35.582622,-101.673387,35.582622,-101.673387,20171222,Alibates Flint Quarries NM
AZ,35.560428,-111.393487,35.560428,-111.393487,,Wupatki NM
NM,35.548298,-105.684448,35.548298,-105.684448,20181018,Pecos NHP
OK,35.474196,-97.5173000,35.474196,-97.5173000,20171222,Oklahoma City NMem
AR,35.388314,-94.4299200,35.388314,-94.4299200,20171127,Fort Smith NHS
AZ,35.371617,-111.510834,35.371617,-111.510834,,Sunset Crater Volcano NM
CA,35.302248,-115.126762,35.302248,-115.126762,20160511,Castle Mountains NM
NC,35.273994,-82.4451370,35.273994,-82.4451370,20150823,Carl Sandburg Home NHS
CA,35.224152,-118.558299,35.224152,-118.558299,,Cesar E Chavez NM
AZ,35.169406,-111.504442,35.169406,-111.504442,,Walnut Canyon NM
SC,35.142357,-81.3447320,35.073237,-79.2302480,20150718,Overmountain Victory NHT
TN,35.139582,-88.3423090,35.139582,-88.3423090,20171125,Shiloh NMP
